,wind_speed_Hessen,wind_speed_Brandenburg,wind_speed_Niedersachsen,wind_speed_Bayern,wind_speed_Rheinland-Pfalz,wind_speed_Mecklenburg-Vorpommern,wind_speed_Thüringen,wind_speed_Berlin,wind_speed_Saarland,wind_speed_Nordrhein-Westfalen,wind_speed_Bremen,wind_speed_Sachsen-Anhalt,wind_speed_Schleswig-Holstein,wind_speed_Sachsen,wind_speed_Baden-Württemberg,wind_speed_Hamburg,time_unix
1708632000,9.518666666666666,7.9606666666666674,11.808666666666666,4.066666666666666,8.442666666666668,9.277333333333333,10.47,7.44,8.535333333333334,9.584,11.24,9.344000000000001,9.871333333333334,8.886666666666667,8.247333333333334,7.8500000000000005,1708632000
1708635600,10.096,8.488000000000001,12.834,4.478,7.872000000000002,9.848,11.214,8.0,7.231999999999999,9.620000000000001,11.88,10.068000000000001,10.688,9.534,7.9879999999999995,8.65,1708635600
1708639200,8.928666666666667,8.775333333333334,11.948666666666666,5.1,7.119333333333334,10.826,10.643333333333334,8.193333333333333,6.771999999999999,8.491333333333333,11.453333333333333,10.584000000000001,11.162666666666667,9.746666666666668,7.294666666666666,8.86,1708639200
1708642800,7.761333333333333,9.062666666666667,11.063333333333334,5.7219999999999995,6.366666666666667,11.804,10.072666666666667,8.386666666666667,6.311999999999999,7.362666666666668,11.026666666666667,11.1,11.637333333333334,9.959333333333333,6.601333333333334,9.07,1708642800
1708646400,6.593999999999999,9.35,10.178,6.343999999999999,5.614,12.782,9.502,8.58,5.851999999999999,6.234,10.6,11.616,12.112,10.172,5.908,9.28,1708646400
1708650000,6.093333333333333,8.333333333333332,9.450666666666667,5.947333333333333,5.634,11.735333333333333,8.22,7.91,6.033333333333333,6.072666666666667,10.133333333333333,9.738666666666667,11.492666666666667,8.81,5.729333333333334,8.826666666666666,1708650000
1708653600,5.592666666666667,7.316666666666666,8.723333333333333,5.550666666666667,5.654,10.688666666666666,6.938000000000001,7.24,6.214666666666667,5.911333333333334,9.666666666666666,7.861333333333333,10.873333333333333,7.448,5.550666666666666,8.373333333333333,1708653600
1708657200,5.0920000000000005,6.3,7.9959999999999996,5.154000000000001,5.674,9.642,5.656,6.57,6.396000000000001,5.750000000000001,9.2,5.984,10.254,6.086,5.372,7.92,1708657200
1708660800,4.8420000000000005,5.518666666666666,7.684666666666667,4.441333333333334,5.518666666666667,9.120666666666667,5.355333333333333,5.506666666666667,6.102,5.644666666666667,8.77,5.726,9.662666666666667,5.434,4.919333333333333,7.446666666666666,1708660800
1708664400,4.592,4.737333333333334,7.373333333333333,3.7286666666666672,5.363333333333333,8.599333333333332,5.054666666666667,4.443333333333333,5.808000000000001,5.539333333333333,8.34,5.468,9.071333333333333,4.782,4.466666666666667,6.973333333333334,1708664400
1708668000,4.342,3.9560000000000004,7.062,3.016,5.208,8.078,4.7540000000000004,3.38,5.514,5.433999999999999,7.91,5.21,8.48,4.13,4.014,6.5,1708668000
1708671600,4.624,4.237333333333334,7.220000000000001,3.256666666666667,5.140666666666666,8.000666666666667,4.890666666666667,3.723333333333333,5.6273333333333335,5.572666666666667,8.07,5.213333333333334,8.167333333333334,4.276,3.992666666666667,6.31,1708671600
